行情种类,模式种类,名字,可做周期,模式胜率高场景,盈亏比,模式条件,上车,买点,卖点,仓位,惩罚机制及心态管理,买卖点惩罚机制,,,,,,,,,,,,,,,,
一波流,接力,新题材同身位,"混沌,主升,强修复","高位分歧，高低切
",中,"新题材爆发，低位出现10亿以上
大单一字情况",有一字做首个换手，20cm套利,打板，竞价盯住,"次日一字封单减少竞价卖，次日超预期
有封单则格局",3层以下,"1本月模式外交易超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱","1本月不按买卖点超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱",,,,,,,,,,,,,,,,
"一波流,龙头接力",接力,接力唯一性,"混沌,主升,强修复",3周以上没空间突破,中,唯一性确认，接力换手板唯一性,"换手标pk掉周围标，
缩量上板，板块必须强势
板块分歧，则必须爆量换手分歧转一致",打板,"爆量次日不弱转强竞价走，
缩量次日强转弱竞价走",3层,,,,,,,,,,,,,,,,,,
"一波流,龙头接力",接力,接力打破空间,"主升,强修复","3周以上没空间突破
指数背离，情绪报团阶段",高,打破空间,打破近期空间压制(最少2周没新高),打板,有利润垫则30分钟不上水，或者跌停卖,5层,"2本月仓位不按计划执行超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱","2本月仓位不按买卖点超过2次，每多一次给对象100，
超过4次去一次健身房，超过6次给对象500块钱",,,,,,,,,,,,,,,,
"一波流,龙头接力",接力,龙头低吸,主升,低吸龙头,中,"板块有低位支撑，7板以上龙头，2次加速后
分歧","坠龙线低吸，一般距高点8个点以内能吸到
10点以上是最有性价比买点",低吸,次日不弱转强，30分钟不上水走,3层以下,,,,,,,,,,,,,,,,,,
一波流,接力,低位反推身位,"混沌,主升,强修复","情绪分歧2天后容易成功
情绪强2天后不去做反推
有主线不做这种模式",低,"低位板块出现多一字，或者板块强度
超预期，反推身位，接力赚钱效应大于3
这里注意身位必须是最核心的",身位弱转强，或者分歧转一致（3板及以下）,半路,次日不加速，竞价卖,3层以下,,,,,,,,,,,,,,,,,,
一波流,接力,龙头补涨,"混沌,主升,强修复","高低切，板块强势，龙头
确认次日
主升分歧日",中,"龙头不能出现大跌，
分支龙必须板块3个涨停反推
主升分歧日，主线首板
同题材做首板，不同题材做2板","题材修复，龙头涨太高抗分歧或者龙头加速
，1进2爆量大高开",打板，需要提前扫,"次日不加速，竞价卖
次日不弱转强，竞价卖",3层以下,,,,,,,,,,,,,,,,,,
"趋势接力,龙头接力",主升,主线核心,"主升,强修复",指数共振主线,高,"主线确认后，做容量核心
有容量接力行情，至少容量能到3板高度",最强最主动，最好是主线确认前中期,半路，打板,"
有利润垫，收盘价破3日线卖
",5层以上,,,,,,,,,,,,,,,,,,
"趋势接力,龙头接力",主升,情绪先锋,"主升,强修复",指数共振主线,高,情绪强修复先锋,情绪强修复下，辨识度主动标,半路，打板,次日不加速，竞价卖,5层以上,"我们在规则上必须坚持，在期望上必须有弹性。我们必须坚持自己的规则，
这样才能得到信任自己的感觉，在没有什么限制的环境中保护自己。
我们的期望必须有弹性，这样我们才能最清楚且最客观地看出从市场
本身的角度要传达给我们的信息。但是一般交易者的做法很可能正好相反，
即在规则上有弹性，却坚持自己的期望。交易者越坚持期望，越可能扭曲
违反或打破自己的规则。因为为了满足自己的期望，就要放弃市场所提供的一切。",,,,,,,,,,,,,,,,,
"趋势接力,龙头接力",主升,辨识度反包,"主升,强修复",指数共振主线,中,板块反推，接力赚钱效应良好,"高位核心反包，龙头地位，最好空中加油,必须板块
先强至少3个涨停反推","竞价弱转强竞价，
要一个性价比","
有利润垫，收盘价破3日线卖
",5层以上,"你需要收集的唯一证据是你用来界定优势的变量是否存在，你利用优势范围以外
的“其他信息”决定是否从事交易时，就是在自己的交易系统中增加随机的变量。
增加随机变量会使你极为难以判定什么有效或什么没有效，如果你根本不确定
自己的优势是否有效，那么你对这种优势不会太有信心。你缺乏信心的程度多高，
恐惧的程度就会有多大",,,,,,,,,,,,,,,,,
纯趋势,情绪趋势,断板趋势龙,"混沌,趋势主升","接力空间压制，情绪分歧
2天后",中,"前期接力4板以上龙头断板或者有辨识度的
容量核心，断板后连续俩天不跌停
收盘维持在5日线上，且题材分歧2天
有回流预期容易成功","空间板，不A杀，断板反包流不出现
亏钱效应，5日线上涨不停","断板第2日，5日线低吸最多2层，
断板第3日，红开竞价买

",收盘破3日线清仓,3层以下,,,,,,,,,,,,,,,,,,
纯趋势,价值投机,逻辑趋势龙,除退潮外,"接力赚钱效应差，空间压制
指数反转",中,"30天涨幅大于50%，底部有不动筹码
高位多峰，张不停不停涨
有一定地位后带动板块",逻辑强，大容量，股价大都大于100元,"3日线附近低吸，
首次碰5日线低吸","收盘破3日线走
趋势加速后次日大阴走",3层,,,,,,,,,,,,,,,,,,
