周期,A周期,B周期,C周期,D周期,,,,,,,,,,,,,,,
现象,"指数共振或者背离，题材有主线，龙头打出
9板高度，龙头不A杀，对情绪和板块有强带动","指数多震荡，题材混乱，多杂无主线和持续性
空间压制7板以下，高度板A杀，炸板率高，多
卡位","指数放量共振普涨，题材有主线，龙头
多换手龙，空间9板以上，或者不断
反包趋势大龙，亏钱效应很弱，断板后
多反包","指数下跌，题材萎靡，难有
板块效应，空间压制5板以下
断板后多一字跌停",,,,,,,,,,,,,,,
注意点,1 只做主线,"1 题材轮动，新老周期更替，注意站队
2 出手点稍微滞后，B周期弱转强大面之源
3 拿先手很重要
4 题材高潮就是卖点","1 普涨容易降低风偏，提高个股期望
2 买不到核心乱买",,,,,,,,,,,,,,,,
仓位,全仓（回撤线之上),半仓（回撤线之上),全仓（回撤线之上),空仓,,,,,,,,,,,,,,,
频率,1周最多2次,1周1次,1周最多2次,无,,,,,,,,,,,,,,,
节点,主升确认(多情绪回暖2天后)，主升修复，主升分歧,必须强修复点，主升首次分歧点,主升确认，修复,无,,,,,,,,,,,,,,,
标的,单波龙头，分支龙,题材弱转强的题材龙头，1进2,龙头，分支龙,无,,,,,,,,,,,,,,,
买点,"龙头的确认点（情绪转折，题材修复），
弱转强，分歧转一致",分歧转一致,弱转强，分歧转一致,无,,,,,,,,,,,,,,,
卖点,情绪，板块，个股竞价不及预期,个股竞价不及预期,龙头深水无法捞起，2点30后,无,,,,,,,,,,,,,,,
上车形式,打板，低吸,打板,打板，低吸,无,,,,,,,,,,,,,,,
割肉,不隔夜,隔夜,不隔夜,无,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"注：
1.节点不对直接逆回购，周期判定通过接力空间来判断
2.节点先确定再出手，填不出就空仓
3远离筹码断层股票",,,,,,,,,,,,,,,,,,,
