周期,日期,指数,指数特点,盘前检查,中级周期,龙头周期,情绪节点,大盘指数,微盘指数,,情绪,,,,是否开仓,,,,,
,,,,,,,,,,日内强势题材,断板,高位,中位,评分,,,,,,
,2024/9/27,向上大阳,,是,,,高潮,,,破净，国改,无大面,加速,加速,3,买入核心,,,,,
,2024/9/30,向上大阳,,是,,,癫狂,,,破净，国改,无大面,加速,加速,4,买入核心,,,,,
,2024/10/9,向下杀跌,,是,,,退潮,,,华为,大面数增加,加速,分歧,1,不开,,,,,
,2024/10/10,A杀,,是,,,退潮加速,,,,大面数减少,分歧,分歧,1,不开,,,,,
,2024/10/11,向下杀跌,,是,,,退潮转衰竭,,,,大面数增加,分歧,分歧,1,不开,,,,,
,2024/10/14,向上大阳,,是,,,反弹第一天,,,西部,无大面,加速,中规中矩,3,买入1进2试错,,,,,
,2024/10/15,A杀,,是,,,反弹加速转衰竭,,,西部,无明显反核,分歧,分歧,1,不开,,,,,
,2024/10/16,宽幅震荡,,是,,,修复--弱,,,,无大面,分歧,中规中矩,3,买入核心,,,,,
,2024/10/17,A杀,,是,,,加速,,,自主可控,单核心反核,加速,加速,1,不开,,,,,
,2024/10/18,向上大阳,,是,,,反弹第一天,,,重组,无大面,分歧,加速,3,买入核心,,,,,
,2024/10/21,A杀,,是,,,反弹加速,,,重组,无大面,加速,加速,2,买入超预期,,,,,
,2024/10/22,宽幅震荡,,是,,,反弹加速转衰竭,,,重组,无大面,分歧,加速,2,买入核心,,,,,
,2024/10/23,A杀,,是,,,退潮,,,,大面数增加,分歧,加速,1,不开,,,,,
,2024/10/24,V杀,,是,,,日内分歧转一致,,,,无大面,分歧,分歧,2,买入超预期,,,,,
,2024/10/25,宽幅震荡,,是,,,加速,,,,无大面,弱转强,加速,3,买入核心,,,,,
,2024/10/28,宽幅震荡,,是,,,高潮,,,,无大面,加速,加速,2,买入超预期,,,,,
,2024/10/29,向下杀跌,,是,,,退潮,,,AI,大面数增加,分歧,加速,1,不开,,,,,
,2024/10/30,V杀,,是,,,修复--强,,,华为，低空,多核心反核,弱转强,加速,3,买入核心,,,,,
,2024/10/31,宽幅震荡,,是,,,反弹加速转衰竭,,,光伏，金融,无大面,加速,加速,2,买入超预期,,,,,
,2024/11/1,宽幅震荡,,是,,,退潮,,,有色,大面数增加,分歧,分歧,1,不开,,,,,
,2024/11/4,向上大阳,,是,,,修复--中等,,,金融，机器人，消费电子,"大面数减少,无明显反核",分歧,分歧,2,"买入核心,买入超预期",,,,,
,2024/11/5,向上大阳,,是,,,反弹加速,,,金融，军工,"多核心反核,无大面",分歧,加速,3,"买入核心,买入超预期",,,,,
,2024/11/6,宽幅震荡,,是,,,反弹加速转衰竭,,,"低空,芯片，新能源车",无大面,分歧,分歧,1,不开,,,,,
,2024/11/7,"向上大阳,大低开",,是,,,日内分歧转一致,,,消费，金融，AMC,"单核心反核,大面数增加",分歧,分歧,2,"买入核心,买入1进2试错",,,,,
,2024/11/8,"A杀,大高开",,是,,,退潮,,,航天军工，芯片,无大面,分歧,分歧,1,不开,,,,,
,2024/11/11,"V杀,大低开",,是,,,退潮加速,,,"芯片，低价,固态电池",大面数增加,分歧,分歧,2,买入1进2试错,,,,,
,2024/11/12,"向下杀跌,震荡开",,是,,,退潮加速,,,医药，固态,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
,2024/11/13,"V杀,大低开",,是,,,退潮转衰竭,,,上海，固态,多核心反核,分歧,分歧,2,买入超预期,,,,,
,2024/11/14,"向下杀跌,震荡开",,是,,,退潮加速,,,无,"无明显反核,大面数增加",弱转强,加速,1,不开,,,,,
,2024/11/15,"向下杀跌,震荡开",,是,,,修复--中等,,,AI应用，固态,多核心反核,弱转强,加速,3,买入核心,,,,,
